Map,Date,Time,Waiting Time,Duration,Result,Score,Ping,Kills,Assists,Death,MVPS,HS Percentage,Points
Inferno, 2018-05-08, 13:37:15, 03:27, 37:12, Lost, 9:16,44,14,4,14,2,0.28,42
Mirage, 2018-05-08, 13:03:23, 00:52, 26:47, Won, 16:2,51,18,1,5,4,0.5,40
Mirage, 2018-05-10, 15:10:35, 01:03, 25:30, Won, 16:1,41,22,2,5,5,0.5,51
Dust II, 2018-05-10, 14:22:11, 00:58, 44:12, Lost, 14:16,50,26,5,18,5,0.3,66
Cache, 2018-05-10, 13:25:23, 02:20, 51:39, Lost, 13:16,42,10,2,20,2,0.54,34
Cache, 2018-05-13, 21:06:43, 03:36, 42:03, Lost, 16:10,56,13,2,23,3,0.38,33
Inferno, 2018-05-13, 20:12:11, 04:01, 45:36, Won, 16:11,42,16,5,17,4,0.43,43
Dust II, 2018-05-14, 20:47:39, 03:09, 42:47, Won, 16:13,41,32,1,22,5,0.5,68
Inferno, 2018-05-14, 19:44:27, 03:54, 56:43, Lost, 14:16,43,25,4,21,3,0.68,63
Nuke, 2018-05-17, 16:04:01, 03:43, 46:41, Tie, 15:15,53,25,3,21,2,0.28,66
Inferno, 2018-05-17, 15:17:13, 00:48, 35:15, Won, 16:6,40,13,2,14,4,0.3,30
Mirage, 2018-05-17, 14:33:05, 02:44, 40:23, Lost, 16:11,38,24,4,20,4,0.45,53
Overpass, 2018-05-17, 13:38:49, 03:46, 48:05, Lost, 13:16,55,21,5,20,1,0.47,56
Dust II, 2018-05-20, 22:12:33, 03:14, 37:53, Lost, 9:16,40,26,5,15,4,0.38,63
Mirage, 2018-05-20, 21:14:33, 02:13, 52:15, Won, 16:14,41,21,1,20,3,0.42,49
Overpass, 2018-05-20, 20:22:09, 03:39, 47:48, Lost, 16:13,51,19,3,23,3,0.36,48
Cache, 2018-05-21, 19:39:13, 00:12, 41:06, Won, 16:14,54,23,4,19,3,0.39,58
Inferno, 2018-05-21, 18:58:25, 00:16, 37:04, Won, 16:7,45,27,3,13,6,0.48,59
Cobblestone, 2018-05-21, 18:12:57, 03:43, 38:33, Won, 16:8,40,19,1,15,3,0.47,42
Mirage, 2018-05-25, 15:31:30, 00:16, 39:07, Lost, 16:10,54,15,4,21,2,0.53,39
Cache, 2018-05-26, 15:40:44, 02:38, 39:26, Lost, 10:16,53,21,9,20,5,0.42,54
Dust II, 2018-05-26, 14:46:36, 03:31, 48:24, Lost, 16:14,44,24,6,22,2,0.33,56
Inferno, 2018-05-28, 19:50:28, 03:18, 35:40, Lost, 16:6,139,14,3,18,2,0.35,39
Mirage, 2018-05-28, 15:39:32, 03:53, 44:58, Lost, 11:16,46,16,4,18,2,0.31,44
Inferno, 2018-06-02, 20:07:42, 03:41, 48:07, Lost, 16:12,50,15,3,23,2,0.26,41
Cache, 2018-06-03, 20:37:18, 04:32, 47:06, Lost, 13:16,42,20,5,20,4,0.45,51
Cobblestone, 2018-06-03, 19:39:02, 02:53, 46:22, Lost, 14:16,47,35,4,16,3,0.48,84
Overpass, 2018-06-05, 18:29:26, 00:52, 51:13, Lost, 16:13,55,31,1,20,7,0.29,73
Mirage, 2018-06-08, 18:16:32, 02:12, 44:05, Won, 16:8,56,23,1,14,3,0.26,59
Mirage, 2018-06-13, 18:43:41, 02:11, 45:03, Lost, 16:13,42,14,5,23,2,0.42,50
Mirage, 2018-06-14, 19:36:19, 02:26, 53:35, Lost, 12:16,57,22,1,23,3,0.27,50
Inferno, 2018-06-16, 20:24:50, 01:55, 32:35, Won, 16:5,43,19,1,9,3,0.26,40
Overpass, 2018-06-18, 20:14:18, 00:19, 39:52, Lost, 6:16,42,21,3,8,2,0.31,55
Cache, 2018-06-18, 19:35:38, 02:02, 30:33, Lost, 16:4,42,14,3,16,4,0.21,41
Mirage, 2018-06-19, 20:24:13, 00:40, 47:53, Lost, 14:16,42,14,4,22,2,0.28,37
Dust II, 2018-06-19, 19:04:37, 01:03, 40:05, Won, 16:9,59,24,2,14,2,0.37,54
Cache, 2018-06-28, 21:02:13, 03:51, 34:43, Lost, 16:6,47,21,0,18,3,0.28,50
Inferno, 2018-06-28, 20:21:57, 03:39, 32:13, Won, 16:4,44,19,5,10,4,0.26,45
Inferno, 2018-07-02, 20:49:33, 03:24, 44:39, Lost, 10:16,42,32,1,17,7,0.28,73
Dust II, 2018-07-02, 20:19:57, 02:13, 22:42, Lost, 4:12,53,8,2,14,2,0.62,18
Inferno, 2018-07-02, 17:20:21, 03:56, 48:18, Lost, 13:16,47,24,1,18,2,0.25,66
Inferno, 2018-07-09, 14:46:14, 01:30, 45:11, Lost, 13:16,44,14,3,19,1,0.28,43
Inferno, 2018-07-09, 14:10:30, 03:35, 29:44, Lost, 5:13,44,21,5,12,4,0.19,50
Dust II, 2018-07-09, 13:29:10, 02:38, 34:51, Lost, 9:16,44,15,3,18,2,0.6,36
Cache, 2018-07-20, 20:15:09, 00:37, 41:18, Lost, 16:7,43,16,3,19,2,0.37,49
Dust II, 2018-07-20, 19:37:41, 02:30, 33:15, Lost, 16:6,42,13,3,20,3,0.46,31
Cache, 2018-07-25, 15:17:50, 04:05, 47:15, Tie, 15:15,40,17,2,20,3,0.22,42
Nuke, 2018-07-25, 14:28:30, 03:13, 38:34, Lost, 16:11,42,21,5,23,3,0.19,50
Cache, 2018-07-29, 21:12:57, 02:00, 14:13, Lost, 3:8,47,12,2,4,1,0.16,28
Dust II, 2018-07-29, 20:06:33, 01:19, 51:13, Lost, 14:16,39,24,6,22,4,0.37,62
Mirage, 2018-07-30, 20:15:53, 00:58, 49:23, Tie, 15:15,51,23,7,24,5,0.34,59
Nuke, 2018-07-30, 19:48:01, 03:50, 23:53, Lost, 16:1,0,3,1,15,1,0.33,8
Dust II, 2018-08-03, 21:32:20, 00:16, 33:00, Lost, 16:6,36,14,1,18,2,0.5,32
Overpass, 2018-08-03, 20:43:56, 01:55, 44:39, Lost, 16:12,46,20,4,19,3,0.4,51
Mirage, 2018-08-13, 21:21:57, 01:57, 36:02, Won, 16:8,54,16,5,18,3,0.43,45
Train, 2018-08-13, 20:36:29, 03:16, 36:12, Won, 16:8,44,22,4,16,2,0.27,53
Inferno, 2018-08-15, 19:46:46, 01:14, 47:33, Lost, 11:16,46,20,3,22,3,0.4,51
Cache, 2018-08-19, 16:53:15, 01:46, 45:55, Won, 16:13,39,19,10,20,3,0.31,55
Dust II, 2018-08-19, 16:16:43, 01:04, 31:40, Lost, 5:16,44,11,0,19,1,0.41,29
Inferno, 2018-08-27, 20:29:15, 03:41, 46:57, Lost, 11:16,41,26,1,15,4,0.19,64
Cache, 2018-08-31, 21:04:24, 03:09, 41:09, Lost, 11:16,43,20,2,16,2,0.35,48
Inferno, 2018-09-02, 17:39:16, 03:30, 38:14, Lost, 9:16,46,17,2,19,0,0.41,39
Inferno, 2018-09-04, 20:08:04, 00:59, 55:28, Tie, 15:15,42,32,4,21,1,0.31,72
Cache, 2018-09-07, 18:51:27, 02:10, 41:37, Lost, 10:16,48,19,7,13,3,0.42,50
Train, 2018-09-15, 17:27:05, 01:43, 46:20, Lost, 16:12,42,22,4,22,3,0.09,53
Cache, 2018-09-19, 19:49:34, 00:15, 40:02, Lost, 6:16,44,28,4,13,8,0.32,71
Dust II, 2018-10-01, 19:51:49, 01:03, 48:15, Tie, 15:15,43,24,5,24,5,0.33,60
Cobblestone, 2018-10-04, 20:28:04, 00:39, 40:13, Lost, 9:16,44,20,3,17,3,0.25,58
Dust II, 2018-10-07, 21:05:04, 00:53, 30:52, Lost, 6:16,57,10,5,10,1,0.2,25
Cobblestone, 2018-10-07, 20:13:28, 02:11, 44:51, Lost, 16:12,42,18,9,22,2,0.38,48
Mirage, 2018-10-07, 19:20:48, 00:29, 46:28, Lost, 16:11,55,19,5,18,4,0.47,51
Overpass, 2018-10-16, 21:08:26, 03:42, 39:17, Won, 16:8,47,20,4,13,3,0.1,49
Dust II, 2018-10-16, 20:12:42, 00:45, 49:00, Lost, 11:16,55,14,8,20,0,0.35,38
Cobblestone, 2018-10-22, 20:43:09, 00:42, 41:03, Won, 16:12,48,16,1,19,2,0.18,36
Nuke, 2018-10-31, 21:53:14, 00:31, 34:46, Won, 16:6,42,19,5,13,2,0.31,46
Mirage, 2018-11-11, 21:48:44, 00:55, 38:18, Lost, 16:9,54,15,6,20,1,0.26,41
Inferno, 2018-11-22, 20:36:33, 01:42, 40:21, Lost, 16:10,48,19,2,22,1,0.36,47
Dust II, 2018-11-22, 19:52:41, 03:05, 39:06, Lost, 12:16,42,21,5,21,4,0.42,47
Dust II, 2018-11-22, 19:03:21, 00:14, 44:00, Lost, 14:16,42,26,3,18,1,0.34,58
Mirage, 2018-11-29, 19:37:14, 02:02, 42:33, Won, 16:9,42,21,3,16,5,0.47,52
Mirage, 2018-12-04, 20:33:06, 01:45, 28:18, Lost, 2:16,50,13,8,14,2,0.38,40
Nuke, 2018-12-04, 19:56:42, 03:28, 31:14, Lost, 7:16,46,23,4,13,3,0.21,57
Cache, 2018-12-10, 20:55:37, 01:45, 42:07, Won, 16:10,43,27,6,15,5,0.44,79
Dust II, 2019-01-12, 20:16:12, 00:43, 30:09, Lost, 4:16,41,21,2,11,5,0.19,45
Overpass, 2019-01-12, 19:32:36, 04:35, 38:08, Lost, 5:16,42,20,3,15,2,0.45,45
Mirage, 2019-01-13, 22:06:44, 01:57, 41:49, Lost, 14:16,74,12,6,23,3,0.33,41
Dust II, 2019-01-13, 21:19:08, 02:05, 42:37, Lost, 12:16,42,25,2,15,4,0.44,58
Mirage, 2019-01-22, 21:27:42, 01:45, 43:06, Lost, 11:16,44,21,2,21,3,0.33,47
Overpass, 2019-02-04, 21:41:59, 00:23, 48:00, Lost, 16:14,57,25,1,22,1,0.32,60
Inferno, 2019-02-04, 21:04:47, 02:51, 27:33, Won, 16:3,57,14,1,5,2,0.42,31
Train, 2019-02-10, 21:44:49, 00:21, 47:14, Lost, 14:16,47,19,3,20,4,0.47,51
Abbey, 2019-02-10, 20:55:21, 00:58, 46:29, Lost, 16:14,41,21,5,23,4,0.66,49
Abbey, 2019-02-10, 20:14:49, 03:43, 37:04, Lost, 16:11,44,23,6,19,3,0.26,55
Abbey, 2019-02-10, 19:31:45, 01:30, 37:10, Lost, 8:16,46,24,2,20,2,0.37,58
Cache, 2019-02-22, 21:34:04, 00:12, 35:44, Lost, 6:16,46,11,4,18,2,0.63,31
Inferno, 2019-03-06, 21:45:37, 00:55, 25:22, Lost, 2:16,41,14,6,11,1,0.64,41
Cache, 2019-03-06, 21:07:29, 01:21, 33:12, Lost, 16:6,43,18,3,17,2,0.22,41
Dust II, 2019-03-06, 20:22:49, 01:43, 36:47, Lost, 7:16,51,8,4,19,1,0.5,22
Mirage, 2019-03-10, 21:18:49, 03:37, 47:04, Lost, 16:12,41,32,8,21,5,0.46,76
Cache, 2019-03-10, 20:34:01, 00:30, 37:32, Lost, 16:5,42,9,1,17,0,0.44,23
Mirage, 2019-03-24, 20:35:02, 03:44, 43:54, Lost, 12:16,41,39,4,19,7,0.41,89
Dust II, 2019-04-08, 21:17:17, 00:43, 35:36, Won, 16:6,42,25,1,10,5,0.28,53
Mirage, 2019-04-08, 20:32:53, 01:15, 38:56, Lost, 7:16,42,16,8,16,4,0.56,49
Mirage, 2019-04-20, 20:27:44, 03:47, 37:57, Lost, 16:6,42,14,0,18,2,0.21,37
Inferno, 2019-04-20, 19:32:16, 04:18, 47:10, Won, 16:11,41,18,2,18,4,0.27,41
Dust II, 2019-05-04, 20:29:55, 02:20, 41:21, Lost, 11:16,52,23,3,22,3,0.6,49
Inferno, 2019-05-04, 19:38:27, 03:28, 41:03, Won, 16:8,44,28,6,13,5,0.42,63
Dust II, 2019-05-09, 21:14:38, 03:26, 45:53, Lost, 14:16,42,31,9,23,4,0.35,74
Inferno, 2019-05-09, 20:12:14, 00:11, 54:08, Tie, 15:15,43,15,2,23,1,0.2,37
Cache, 2019-05-09, 19:18:30, 00:30, 46:02, Lost, 16:11,50,16,6,23,1,0.25,43
Mirage, 2019-05-15, 21:09:03, 03:51, 47:34, Lost, 13:16,41,16,6,22,2,0.37,42
Inferno, 2019-05-15, 20:14:23, 03:47, 45:33, Lost, 13:16,41,18,8,20,3,0.27,50
Inferno, 2019-05-15, 19:23:59, 03:23, 33:44, Lost, 16:6,50,19,5,17,1,0.36,46
Cache, 2019-05-21, 18:48:59, 04:00, 42:41, Won, 16:12,43,25,3,17,4,0.36,65
Nuke, 2019-05-26, 20:43:32, 00:33, 42:02, Lost, 16:12,43,19,3,26,1,0.31,41
Inferno, 2019-05-26, 19:57:40, 00:12, 40:58, Lost, 11:16,43,15,2,18,4,0.26,42
Cache, 2019-06-09, 22:07:54, 00:48, 44:49, Tie, 15:15,49,21,3,19,4,0.22,54
Overpass, 2019-06-09, 21:22:26, 01:55, 41:39, Lost, 16:10,51,16,3,19,0,0.43,37
Mirage, 2019-06-09, 20:39:54, 00:19, 36:09, Lost, 8:16,52,12,4,18,0,0.33,36
Train, 2019-06-16, 21:10:29, 01:20, 33:38, Lost, 6:16,49,13,3,19,1,0.3,34
Mirage, 2019-06-16, 20:15:33, 00:21, 40:30, Lost, 13:16,52,16,4,17,4,0.37,58
Train, 2019-06-21, 20:02:55, 01:07, 49:31, Lost, 16:12,56,24,3,19,4,0.41,57
Dust II, 2019-07-02, 20:49:42, 04:05, 45:23, Lost, 12:16,42,22,2,22,2,0.4,47
Cache, 2019-07-02, 19:50:54, 03:21, 50:20, Lost, 16:13,41,16,4,24,2,0.56,39
Inferno, 2019-07-02, 18:51:50, 03:07, 48:41, Lost, 10:16,42,11,5,19,1,0.54,28
Mirage, 2019-07-04, 21:35:15, 02:24, 25:09, Lost, 16:4,43,11,2,19,1,0.36,30
Inferno, 2019-07-04, 20:37:31, 03:52, 52:03, Won, 16:12,45,12,0,15,0,0.33,32
Dust II, 2019-07-10, 19:58:35, 02:27, 44:05, Lost, 14:16,43,18,3,18,5,0.3,49
Cache, 2019-07-12, 20:43:20, 00:18, 49:37, Lost, 13:16,42,23,6,17,5,0.39,61
Train, 2019-07-12, 20:15:28, 02:39, 24:31, Lost, 16:1,43,14,2,16,1,0.57,35
Inferno, 2019-07-27, 20:27:19, 00:48, 49:17, Lost, 16:13,43,25,2,21,5,0.24,59
Mirage, 2019-07-28, 20:26:15, 01:33, 54:55, Lost, 14:16,43,25,10,23,4,0.48,66
Cache, 2019-07-28, 19:37:51, 02:18, 43:18, Won, 16:12,43,24,6,19,4,0.41,60
Inferno, 2019-08-09, 20:10:05, 03:22, 44:57, Lost, 13:16,42,14,3,22,1,0.42,36
Overpass, 2019-08-30, 22:37:16, 01:47, 50:36, Tie, 15:15,32,28,3,18,2,0.35,59
Seaside, 2019-09-07, 20:21:22, 01:10, 44:19, Won, 16:14,40,31,7,24,5,0.48,70
Breach, 2019-09-07, 19:48:51, 01:35, 27:54, Won, 16:3,42,12,1,10,2,0.58,26
Seaside, 2019-09-07, 19:06:11, 00:47, 34:32, Lost, 16:8,40,30,3,17,7,0.56,71
Breach, 2019-09-07, 18:15:47, 01:42, 43:05, Lost, 14:16,41,28,4,19,2,0.6,64
Cache, 2019-09-20, 20:35:04, 01:14, 47:19, Lost, 14:16,33,18,8,22,2,0.5,55
Train, 2019-09-20, 19:42:56, 02:44, 46:10, Lost, 14:16,47,21,7,22,2,0.33,59
Inferno, 2019-09-24, 21:28:56, 01:43, 47:55, Tie, 15:15,44,17,3,23,3,0.35,39
Dust II, 2019-09-24, 20:47:20, 03:54, 36:47, Lost, 7:16,44,13,3,15,1,0.3,30
Mirage, 2019-09-24, 19:55:28, 01:55, 44:55, Tie, 15:15,42,16,5,21,0,0.43,44
Mirage, 2019-09-29, 21:02:48, 01:03, 37:38, Lost, 7:16,42,22,2,13,4,0.4,61
Mirage, 2019-10-04, 21:29:54, 00:36, 38:41, Won, 16:10,58,14,3,17,3,0.28,45
Cache, 2019-10-14, 17:39:02, 00:26, 40:30, Lost, 16:8,47,21,1,19,3,0.38,47
Inferno, 2019-10-14, 16:59:25, 01:50, 35:13, Won, 16:7,47,21,11,15,5,0.28,54
Overpass, 2019-10-29, 19:44:43, 02:33, 46:34, Lost, 10:16,39,16,2,18,1,0.37,37
Mirage, 2019-11-11, 23:33:12, 00:47, 50:45, Won, 16:14,33,18,4,20,3,0.72,45
Cache, 2019-11-11, 22:45:28, 00:58, 44:02, Tie, 15:15,32,21,9,22,2,0.14,58
Mirage, 2019-11-15, 22:34:25, 00:24, 43:29, Tie, 15:15,46,15,6,26,3,0.33,37
Mirage, 2019-11-15, 21:59:21, 00:20, 31:59, Lost, 16:6,48,22,3,18,1,0.45,54
Cache, 2019-11-21, 19:41:29, 01:53, 39:31, Lost, 16:10,56,26,5,20,4,0.42,61
Inferno, 2019-11-21, 18:52:17, 00:51, 39:35, Lost, 16:7,55,10,2,17,1,0.3,33
Inferno, 2019-11-24, 19:04:24, 03:19, 43:28, Lost, 16:14,42,20,2,19,2,0.2,44
Mirage, 2019-12-06, 20:41:43, 01:32, 50:02, Lost, 16:14,44,21,1,23,5,0.47,56
Mirage, 2019-12-11, 23:22:21, 01:32, 31:15, Won, 16:3,36,16,2,13,3,0.31,39
Mirage, 2019-12-11, 22:41:09, 01:52, 35:00, Lost, 6:16,41,14,2,20,1,0.21,30
Cache, 2019-12-14, 21:46:30, 00:23, 49:18, Lost, 14:16,51,18,1,22,0,0.27,42
Office, 2019-12-14, 21:04:06, 00:39, 38:12, Lost, 7:16,37,18,3,15,3,0.36,48
Mirage, 2019-12-14, 20:03:03, 00:51, 36:05, Lost, 16:10,42,18,5,20,2,0.33,45
Inferno, 2019-12-24, 19:18:06, 00:31, 44:16, Won, 16:13,43,25,9,19,6,0.24,69
Mirage, 2020-01-08, 22:22:47, 00:11, 36:19, Lost, 8:16,43,26,4,14,4,0.34,58
Mirage, 2020-01-17, 21:05:29, 01:24, 39:11, Won, 16:8,43,21,1,15,3,0.38,46
Cache, 2020-01-24, 22:50:22, 01:44, 36:25, Lost, 8:16,34,20,2,19,5,0.5,51
Train, 2020-02-03, 19:38:50, 01:52, 42:05, Lost, 16:14,47,20,2,23,1,0.45,45
Nuke, 2020-02-05, 21:33:27, 03:04, 44:38, Lost, 11:16,44,20,5,14,4,0.35,58
Train, 2020-02-07, 21:38:38, 02:18, 34:38, Lost, 5:16,48,12,3,11,4,0.16,41
Vertigo, 2020-02-12, 23:37:40, 03:11, 52:20, Tie, 15:15,52,41,5,22,6,0.24,94
Vertigo, 2020-02-12, 22:46:20, 03:27, 44:14, Lost, 11:16,43,28,1,18,5,0.28,63
Vertigo, 2020-02-12, 22:09:16, 03:40, 30:11, Lost, 4:16,44,13,6,17,1,0.07,32
Nuke, 2020-02-20, 22:07:21, 00:18, 34:17, Won, 16:9,43,19,5,15,2,0.26,44
Inferno, 2020-03-03, 21:11:11, 00:20, 43:17, Lost, 10:16,40,27,2,17,6,0.48,67
Dust II, 2020-03-03, 20:27:43, 02:57, 32:04, Lost, 8:16,43,18,5,14,4,0.38,43
Overpass, 2020-03-09, 21:03:28, 00:11, 45:23, Won, 16:9,55,34,1,16,2,0.38,73
Train, 2020-03-09, 20:15:12, 00:20, 44:17, Lost, 13:16,55,20,5,19,1,0.25,54
